x,y,DEM
-1180354.7984626968,2536812.7705312967,2482.82
-1175354.7984626968,2536812.7705312967,2482.82
-1170354.7984626968,2536812.7705312967,2693.92
-1165354.7984626968,2536812.7705312967,2693.92
-1160354.7984626968,2536812.7705312967,2214.01
-1180354.7984626968,2531812.7705312967,2482.82
-1175354.7984626968,2531812.7705312967,2482.82
-1170354.7984626968,2531812.7705312967,2693.92
-1165354.7984626968,2531812.7705312967,2693.92
-1160354.7984626968,2531812.7705312967,2214.01
-1155354.7984626968,2531812.7705312967,2214.01
-1150354.7984626968,2531812.7705312967,1963.81
-1145354.7984626968,2531812.7705312967,1963.81
-1140354.7984626968,2531812.7705312967,1944.04
-1135354.7984626968,2531812.7705312967,1944.04
-1130354.7984626968,2531812.7705312967,2343.04
-1125354.7984626968,2531812.7705312967,2343.04
-1185354.7984626968,2526812.7705312967,2269.08
-1180354.7984626968,2526812.7705312967,2461.86
-1175354.7984626968,2526812.7705312967,2461.86
-1170354.7984626968,2526812.7705312967,2549.44
-1165354.7984626968,2526812.7705312967,2549.44
-1160354.7984626968,2526812.7705312967,2323.33
-1155354.7984626968,2526812.7705312967,2323.33
-1150354.7984626968,2526812.7705312967,2353.43
-1145354.7984626968,2526812.7705312967,2353.43
-1140354.7984626968,2526812.7705312967,2175.98
-1135354.7984626968,2526812.7705312967,2175.98
-1130354.7984626968,2526812.7705312967,2215.14
-1125354.7984626968,2526812.7705312967,2215.14
-1120354.7984626968,2526812.7705312967,2371.71
-1115354.7984626968,2526812.7705312967,2371.71
-1110354.7984626968,2526812.7705312967,2510.69
-1105354.7984626968,2526812.7705312967,2510.69
-1100354.7984626968,2526812.7705312967,2729.2
-1095354.7984626968,2526812.7705312967,2729.2
-1090354.7984626968,2526812.7705312967,2474.56
-1085354.7984626968,2526812.7705312967,2474.56
-1185354.7984626968,2521812.7705312967,2269.08
-1180354.7984626968,2521812.7705312967,2461.86
-1175354.7984626968,2521812.7705312967,2461.86
-1170354.7984626968,2521812.7705312967,2549.44
-1165354.7984626968,2521812.7705312967,2549.44
-1160354.7984626968,2521812.7705312967,2323.33
-1155354.7984626968,2521812.7705312967,2323.33
-1150354.7984626968,2521812.7705312967,2353.43
-1145354.7984626968,2521812.7705312967,2353.43
-1140354.7984626968,2521812.7705312967,2175.98
-1135354.7984626968,2521812.7705312967,2175.98
-1130354.7984626968,2521812.7705312967,2215.14
-1125354.7984626968,2521812.7705312967,2215.14
-1120354.7984626968,2521812.7705312967,2371.71
-1115354.7984626968,2521812.7705312967,2371.71
-1110354.7984626968,2521812.7705312967,2510.69
-1105354.7984626968,2521812.7705312967,2510.69
-1100354.7984626968,2521812.7705312967,2729.2
-1095354.7984626968,2521812.7705312967,2729.2
-1090354.7984626968,2521812.7705312967,2474.56
-1085354.7984626968,2521812.7705312967,2474.56
-1080354.7984626968,2521812.7705312967,2544.72
-1075354.7984626968,2521812.7705312967,2544.72
-1070354.7984626968,2521812.7705312967,2947.0
-1065354.7984626968,2521812.7705312967,2947.0
-1060354.7984626968,2521812.7705312967,3081.17
-1055354.7984626968,2521812.7705312967,3081.17
-1185354.7984626968,2516812.7705312967,2139.96
-1180354.7984626968,2516812.7705312967,2352.1
-1175354.7984626968,2516812.7705312967,2352.1
-1170354.7984626968,2516812.7705312967,2444.08
-1165354.7984626968,2516812.7705312967,2444.08
-1160354.7984626968,2516812.7705312967,2396.19
-1155354.7984626968,2516812.7705312967,2396.19
-1150354.7984626968,2516812.7705312967,2562.92
-1145354.7984626968,2516812.7705312967,2562.92
-1140354.7984626968,2516812.7705312967,2395.38
-1135354.7984626968,2516812.7705312967,2395.38
-1130354.7984626968,2516812.7705312967,2354.28
-1125354.7984626968,2516812.7705312967,2354.28
-1120354.7984626968,2516812.7705312967,2394.05
-1115354.7984626968,2516812.7705312967,2394.05
-1110354.7984626968,2516812.7705312967,2495.73
-1105354.7984626968,2516812.7705312967,2495.73
-1100354.7984626968,2516812.7705312967,2769.99
-1095354.7984626968,2516812.7705312967,2769.99
-1090354.7984626968,2516812.7705312967,2588.0
-1085354.7984626968,2516812.7705312967,2588.0
-1080354.7984626968,2516812.7705312967,2387.64
-1075354.7984626968,2516812.7705312967,2387.64
-1070354.7984626968,2516812.7705312967,2710.66
-1065354.7984626968,2516812.7705312967,2710.66
-1060354.7984626968,2516812.7705312967,2945.76
-1055354.7984626968,2516812.7705312967,2945.76
-1050354.7984626968,2516812.7705312967,2139.29
-1045354.7984626968,2516812.7705312967,2139.29
-1040354.7984626968,2516812.7705312967,1454.31
-1035354.7984626968,2516812.7705312967,1454.31
-1030354.7984626968,2516812.7705312967,1308.22
-1025354.7984626968,2516812.7705312967,1308.22
-1020354.7984626968,2516812.7705312967,1396.63
-1015354.7984626968,2516812.7705312967,1396.63
-1185354.7984626968,2511812.7705312967,2139.96
-1180354.7984626968,2511812.7705312967,2352.1
-1175354.7984626968,2511812.7705312967,2352.1
-1170354.7984626968,2511812.7705312967,2444.08
-1165354.7984626968,2511812.7705312967,2444.08
-1160354.7984626968,2511812.7705312967,2396.19
-1155354.7984626968,2511812.7705312967,2396.19
-1150354.7984626968,2511812.7705312967,2562.92
-1145354.7984626968,2511812.7705312967,2562.92
-1140354.7984626968,2511812.7705312967,2395.38
-1135354.7984626968,2511812.7705312967,2395.38
-1130354.7984626968,2511812.7705312967,2354.28
-1125354.7984626968,2511812.7705312967,2354.28
-1120354.7984626968,2511812.7705312967,2394.05
-1115354.7984626968,2511812.7705312967,2394.05
-1110354.7984626968,2511812.7705312967,2495.73
-1105354.7984626968,2511812.7705312967,2495.73
-1100354.7984626968,2511812.7705312967,2769.99
-1095354.7984626968,2511812.7705312967,2769.99
-1090354.7984626968,2511812.7705312967,2588.0
-1085354.7984626968,2511812.7705312967,2588.0
-1080354.7984626968,2511812.7705312967,2387.64
-1075354.7984626968,2511812.7705312967,2387.64
-1070354.7984626968,2511812.7705312967,2710.66
-1065354.7984626968,2511812.7705312967,2710.66
-1060354.7984626968,2511812.7705312967,2945.76
-1055354.7984626968,2511812.7705312967,2945.76
-1050354.7984626968,2511812.7705312967,2139.29
-1045354.7984626968,2511812.7705312967,2139.29
-1040354.7984626968,2511812.7705312967,1454.31
-1035354.7984626968,2511812.7705312967,1454.31
-1030354.7984626968,2511812.7705312967,1308.22
-1025354.7984626968,2511812.7705312967,1308.22
-1020354.7984626968,2511812.7705312967,1396.63
-1015354.7984626968,2511812.7705312967,1396.63
-1010354.7984626968,2511812.7705312967,1460.88
-1005354.7984626968,2511812.7705312967,1460.88
-1000354.7984626968,2511812.7705312967,1351.95
-995354.7984626968,2511812.7705312967,1351.95
-1185354.7984626968,2506812.7705312967,2119.52
-1180354.7984626968,2506812.7705312967,2288.37
-1175354.7984626968,2506812.7705312967,2288.37
-1170354.7984626968,2506812.7705312967,2363.52
-1165354.7984626968,2506812.7705312967,2363.52
-1160354.7984626968,2506812.7705312967,2444.47
-1155354.7984626968,2506812.7705312967,2444.47
-1150354.7984626968,2506812.7705312967,2508.84
-1145354.7984626968,2506812.7705312967,2508.84
-1140354.7984626968,2506812.7705312967,2500.71
-1135354.7984626968,2506812.7705312967,2500.71
-1130354.7984626968,2506812.7705312967,2554.7
-1125354.7984626968,2506812.7705312967,2554.7
-1120354.7984626968,2506812.7705312967,2484.85
-1115354.7984626968,2506812.7705312967,2484.85
-1110354.7984626968,2506812.7705312967,2545.02
-1105354.7984626968,2506812.7705312967,2545.02
-1100354.7984626968,2506812.7705312967,2754.47
-1095354.7984626968,2506812.7705312967,2754.47
-1090354.7984626968,2506812.7705312967,2654.49
-1085354.7984626968,2506812.7705312967,2654.49
-1080354.7984626968,2506812.7705312967,2402.33
-1075354.7984626968,2506812.7705312967,2402.33
-1070354.7984626968,2506812.7705312967,2462.5
-1065354.7984626968,2506812.7705312967,2462.5
-1060354.7984626968,2506812.7705312967,2452.54
-1055354.7984626968,2506812.7705312967,2452.54
-1050354.7984626968,2506812.7705312967,1781.82
-1045354.7984626968,2506812.7705312967,1781.82
-1040354.7984626968,2506812.7705312967,1374.23
-1035354.7984626968,2506812.7705312967,1374.23
-1030354.7984626968,2506812.7705312967,1321.04
-1025354.7984626968,2506812.7705312967,1321.04
-1020354.7984626968,2506812.7705312967,1411.35
-1015354.7984626968,2506812.7705312967,1411.35
-1010354.7984626968,2506812.7705312967,1458.81
-1005354.7984626968,2506812.7705312967,1458.81
